Series,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Never
1,1.50,1.40,1.35,1.25,1.15,1.10,1.00,0.95,0.90,0.85,0.80,0.75,0.65,0.55,0.50
2,1.40,1.30,1.25,1.15,1.10,1.00,0.95,0.90,0.85,0.80,0.75,0.70,0.60,0.55,0.50
3,1.30,1.20,1.15,1.10,1.00,0.95,0.90,0.85,0.80,0.75,0.70,0.65,0.55,0.50,0.45
4,1.20,1.15,1.05,1.00,0.95,0.90,0.85,0.80,0.75,0.70,0.65,0.60,0.50,0.45,0.40
5,1.15,1.05,1.00,0.95,0.90,0.85,0.80,0.75,0.70,0.65,0.60,0.55,0.50,0.40,0.35
6,1.05,1.00,0.95,0.90,0.85,0.80,0.75,0.70,0.65,0.60,0.55,0.50,0.45,0.40,0.35
7,1.00,0.95,0.90,0.85,0.80,0.75,0.70,0.65,0.60,0.55,0.50,0.45,0.40,0.35,0.30
8,0.95,0.90,0.85,0.80,0.75,0.70,0.65,0.60,0.55,0.50,0.45,0.40,0.35,0.30,0.25
9,0.90,0.85,0.80,0.75,0.70,0.65,0.60,0.55,0.50,0.45,0.40,0.35,0.30,0.25,0.20
10,0.85,0.80,0.75,0.70,0.65,0.60,0.55,0.50,0.45,0.40,0.35,0.30,0.25,0.20,0.20
11,0.80,0.70,0.65,0.65,0.60,0.55,0.50,0.45,0.40,0.35,0.30,0.25,0.20,0.15,0.15
12,0.75,0.65,0.60,0.55,0.50,0.50,0.45,0.40,0.35,0.30,0.25,0.20,0.20,0.15,0.10
13,0.65,0.60,0.55,0.50,0.45,0.45,0.40,0.35,0.30,0.25,0.20,0.15,0.15,0.10,0.10
14,0.60,0.55,0.50,0.45,0.40,0.35,0.35,0.30,0.25,0.20,0.15,0.10,0.10,0.10,0.05
Never,0.50,0.45,0.40,0.40,0.35,0.30,0.30,0.25,0.20,0.15,0.10,0.10,0.05,0.05,0.05